제목,저자_상세,초록,키워드_상세,저자,저널명,발행기관,권,호,시작페이지,종료페이지,발행년도,주제분야,인용횟수,논문ID
NFT 미술관의 가능성과 수반되는 법적 문제점,김별다비; 최동배,"21년 3월 비플의 NFT 작품 “모든날들- 첫 5000일” 우리돈 828억에 낙찰되었다. NFT 미술이란 무엇이고, 기존의 디지털 미술과 무슨 차이가 있으며, NFT 미술이 장래 미술관에는 어떤 영향을 줄 것인지 예측이 필요하다. 기존에는 미술관에 입성하는지 여부에 따라 작가와 작품의 가치가 결정되었다. 그러나 NFT 미술이 등장함으로써 누구나 NFT로 미술품을 발행할 수 있어 다시 권력이 재편성되는 효과를 가지고 온다. 이러한 NFT 미술품을 소장품으로 하는 NFT 미술관이 가능한지 여부는 기존에 국내법상 박물관미술관진흥법, 문화예술진흥법, 작년 발의된 미술진흥법상 NFT 미술품도 미술작품에 해당하는지가 문제된다. 또한 미술관이 이러한 NFT 미술품 거래 시 시세차익을 얻는 경우 특정금융정보법, 전자금융거래법의 적용을 받는지는 가상자산에 해당하는지가 문제시 된다. 특히 NFT 플랫폼이 자전거래를 하는 경우와 불법자금의 세탁 등에 악용되는 경우 처벌대상이 되기 위해서는 전술한 가상자산으로 우선 인정되어야 한다는 선결문제가 있다.
형사적으로는 P2E 게임 NFT가 게임산업진흥에 관한 법률위반인지, 도박죄등에 해당할수 있는지가 문제되며, 상술한 가상자산성 여부 외에도 우연성, 사행성 인정에 따라 해당될 수 있다. 사기죄 관련, (1) 매수한 NFT 서비스가 종료된 경우 최근 코인 관련 무형의 재산성이 인정된 판례(21도9855)와 더불어 소극적 기망(2017도20682)이 인정되는 경우 사기죄가 인정될 수 있고, (2) 의도적인 사기 코인에 기반한 NFT나, NFT 발행 투자금 모집을 기망한 투자사기 유형(Rug pull)도 있다. (3) 그리고 NFT 담보를 중개하는 업체를 중심으로 담보대출사기가 있다. (4) 마지막으로 기업의 운영진이 가치가 불분명한 NFT의 평가액을 평가업체와 공모하여 과대평가하여 기업의 자금을 횡령하는 도구로 사용하는 유형이 있다.
IP 측면에서는 NFT 거래 또는 NFT기반 기금펀딩이 온라인에서의 지식재산권 활용방식인 라이선스방식을 부정하고, 오프라인에서의 저작권 법리 적용을 주장하지만, 실정법상 불가능하다. 이에 NFT의 IP개념을 오도당한 소비자에게 불측의 손해가 있을수 있다. 또한 NFT 미술은 위변조가 되지 않았다는 증명서로서 의의를 가지나, 증서가 보증하는 디지털 이미지 등이 실제 취득하려는 대상인지 완전히 보증할 수 없다는 문제점이 있다.
가상세계 생태계가 4차 산업혁명에 따라 필연적이라면, 박물관 미술관 관련 기구는 상업적 NFT미술 회사가 아닌 큐레이션이 가능한 비영리 NFT 미술관에 대하여도 지원함으로써 건전한 NFT 생태계를 안착시킬 수 있도록 할 수 있다.",NFT(non-fungible token); 미술관; 범죄; 가상자산; 지식재산권,최동배,법학연구,부설법학연구소,68,,109,134,2022,법학교육,2,ART002848163
모바일 인테리어 어플리케이션의 기능성 평가,서지은; 조현경,"본 연구는 셀프 인테리어에 대한 지속적인 관심으로 이용도가 높아진 모바일 인테리어 어플리케이션이 어떤 기능과 역할을 수행하고 있는지를 분석하였다.
이에 관한 연구 결과와 논의는 다음과 같다.
첫째, 최근 급증하고 있는 1인 가구와 ‘코로나 19’의 발생으로 집에서의 체류 시간이 증가하면서 이전보다 셀프 인테리어에 대한 관심도가 더욱 증가한 것으로 보이며, 이에 따라 향상된 모바일 기술력과 함께 셀프 인테리어를 위해 모바일 인테리어 어플리케이션의 필요성과 활용이 높아진 것으로 생각된다.
둘째, 모바일 인테리어 어플리케이션의 기능성 요소는 ‘구매연결’, ‘이미지 큐레이션’, ‘3D 시뮬레이션’, ‘공유’로 구성되어 있으며, 현재 대부분의 어플리케이션은 ‘3D 시뮬레이션’ 기능이 아예 기능하지 않거나 기능하더라도 모바일에서는 한계적으로 기능하고 있어 사용자의 활용에 부족함이 있다. 따라서 단순 이미지를 통한 인테리어 정보 제공뿐 아니라 ‘3D’ 기능을 활용한 어플리케이션이 가구 배치를 비롯한 전체적인 홈스타일링에 있어서 더욱 도움이 될 것이라 생각되며, 양쪽 모두 활용 가능한 어플리케이션이 개발되어야 할 것이다.
또한, 3D 기능을 이용한 어플리케이션이 늘어나고 있으나 활용의 미흡한 점이 있는 것을 보아 이를 쉽게 접근하고 사용할 수 있도록 기능적인 측면의 연구가 진행되길 희망한다.
셋째, 어플리케이션의 기능성 별 특성을 분석한 결과, ‘구매연결’에서는 대부분 이미지 내 태그 클릭을 통해 앱 내외의 스토어로 연결되도록 하고 있으나 미등록 제품에 대한 정보와 구매연결 기능은 부족하다. 따라서 미등록 제품의 경우에도 다른 사이트 링크나 상품명을 노출시키는 등 사용자에게 양질의 서비스를 제공해야 할 것으로 생각된다. ‘이미지 큐레이션’은 세부 항목 필터에 따라 이와 연관된 이미지를 사용자 맞춤별로 제공하고 있으며, ‘3D 시뮬레이션’은 색상 조절과 그림자 자동생성이 가능하나 한정적인 색상 조절과 빛의 세기나 시간이 고려되지 않은 그림자 생성으로, 이를 개선하여 더욱 현실적이고 감각적인 3D 배치가 가능하도록 해야한다. ‘공유’에서는 이미지 업로드를 통해 마치 SNS처럼 다른 이용자들과 의견을 교환하고 공유할 수 있는 카테고리가 따로 마련되어있는 것을 보아 다른 사람에게 보여주고자하는 욕구와 공유를 중요하게 여기는 것으로 생각된다.",셀프 인테리어; 인테리어 어플리케이션; 3D,조현경,한국주거학회논문집,한국주거학회,32,3,173,180,2021,생활과학,5,ART002732494
MZ세대의 콘텐츠 플랫폼 활용행태에 관한 연구: 과학기술정보 분야의 정보이용자를 중심으로,김현정; 유수현; 현미환,"본 연구는 다양한 정보 이용 매체의 등장과 디지털 정보자원의 급증으로 변화하는 과학 기술 정보 환경에서 앞으로 주요한 정보이용자가 될 MZ세대의 정보이용행태를 분석하고자 한다. 특히 MZ세대의 콘텐츠 활용 플랫폼, 일상․학술정보 이용행태, 콘텐츠 생산 방식과 특성에 대한 설문을 통해 정보이용자면서 정보 생산자로서의 MZ세대의 특성을 이해하고자 하였다. 분석결과 MZ세대는 유튜브를 콘텐츠 플랫폼으로 가장 많이 활용하고 있었으며, 일상정보원으로는 네이버를, 학술정보원으로는 구글을 선호하는 것으로 나타났다. 또한 콘텐츠 플랫폼을 통해 소비하는 콘텐츠는 대부분 일상적인 정보였으며, 전문분야 등의 검색은 빈번하지 않은 것을 확인할 수 있었다. 콘텐츠 소비뿐만 아니라 생산에도 적극적인 것을 확인할 수 있었는데, 다만 정보전달의 목적보다는 기록을 위한 목적이 가장 많은 것을 알 수 있었다.",콘텐츠플랫폼; 일상정보원; 학술정보원; 정보이용행태; MZ세대,유수현,한국비블리아학회지,한국비블리아학회,32,4,231,263,2021,문헌정보학,13,ART002790843
데이터 과학의 방법론을 적용한 데이터 기반 디자인 방법론에 대한 연구 – 미세먼지 정보 서비스 앱의 디자인 리서치 사례를 중심으로,이현진,"본 연구는 데이터 과학의 분석적 연구 방법을 디자인 연구에 활용할 수 있는 방법을 모색, 실증해봄으로써 빅데이터 기반의 디자인 분야에서 데이터 자원을 효과적으로 활용하고, 빅데이터 기술과 디자인이 상생 발전할 수 있는 디자인 연구 방향을 제시하였다. 본 연구의 방법은 먼저 고전적인 디자인 리서치의 방법들과 데이터를 활용한 디자인 리서치의 연구 방법론, 데이터 과학의 연구 방법론을 고찰하고 디자인과 데이터 과학의 선행연구들을 종합하여 데이터 과학의 연구 방법론과 디자인 프로세스를 통합하는 데이터 기반 디자인의 연구 방법론을 개발 제안하였다. 제안된 연구 모델은 데이터 기반 서비스 앱의 디자인 리서치 사례 연구를 수행하여 제안한 방법론의 적용 가능성을 살펴보았으며, 제시한 연구 방법의 적용을 위하여 데이터 큐레이션 방법에 대한 연구와 디자이너의 데이터 문해력 확보가 향후 연구과제로 도출되었다.",디자인 리서치; 디자인 프로세스; 데이터 과학; 데이터 기반 디자인,이현진,한국콘텐츠학회 논문지,한국콘텐츠학회,21,10,103,114,2021,학제간연구,4,ART002767437
숏폼 콘텐츠 자막 자동 추출 시스템,orcid 바로가기; 김장원; 온병원; 정동원; 조준영,"최근 유튜브와 모바일 플랫폼 환경에서 짧고 강렬한 콘텐츠를 뜻하는 숏폼(short-form) 콘텐츠가 급증하고 있다. 콘텐츠의 홍수 속에서 핵심 내용 파악이 용이하여 시간 투자 대비 높은 만족감을 얻을 수 있기 때문이다. 숏폼 콘텐츠에서 핵심 내용의 간결하고 효율적인 표현을 위해 이미지(사물, 사람)와 한글 자모의 조합으로 구성된 특수 자막을 사용한다. 그러므로 일반적인 형태의 자막이 아닌 특수한 형태로 표현되는 특수 자막을 추출하는 방법이 필요하다. 본 논문에서는 숏폼 콘텐츠들에 존재하는 자막 자동식별 시스템을 제안한다. 숏폼 콘텐츠에 포함된 자막 데이터를 기계 학습하여 특수 및 일반자막의 식별 및 추출 결과 기존 방법보다 추출 정확도(95%)가 우수함을 보였다. 따라서 다양한 자막 형태가 포함된 숏폼 콘텐츠에 대한 사용자 추천 시스템 및 콘텐츠 큐레이션 서비스에 다양하게 활용할 수 있을 것으로 보인다.",shortform content; caption extraction; optical character recognition; neural network,조준영,한국정보기술학회논문지,한국정보기술학회,19,6,29,37,2021,기타공학일반,3,ART002728590
토큰 이코노미 기반 블록체인 미디어의 실패요인:스팀잇의 보팅봇 사례를 중심으로,조재우,"최초의 블록체인 기반 소셜 미디어인 스팀잇은 쉽고 접근성이 높은 토큰 이코노미를 토대로 대중에게 빠르게 확산되었다. 모든 컨텐츠 제작자들에게 블록체인 토큰으로 보상을 주는 스팀잇의 Proof of Brain이라는 독특한 토큰 이코노미는 스팀잇의 성장에 크게 기여하였으나, 암호화폐 시장의 침체와 함께 그 한계도 나타나기 시작했다. 본 연구에서는 스팀잇의 토큰 이코노미 실패 요인으로 논란이 되어온 셀프보팅, 보팅풀, 보팅봇 등의 문제를 살펴보고 그 중 가장 대표적이면서도 명확하게 드러나는 보팅봇에 초점을 맞추어 그 활동이 스팀잇 토큰 이코노미에 미치는 영향을 실증적으로 분석하였다. 스팀잇 블록체인 데이터와 시장 데이터를 토대로 분석한 결과 스팀잇의 전체 큐레이션 보상에서 보팅봇이 차지하는 비중이 증가할 때 시장에서의 스팀 가격 경쟁력은 하락하는 것으로 나타났다. 이 결과는 시장에서 형성된 가치보다 훨씬 낮은 비용을 들여 토큰보상을 받는 것이 토큰 이코노미 성장을 저해한다는 본 연구의 주장을 뒷받침한다.",블록체인; 토큰 이코노미; 스팀잇; 블록체인 기반 소셜미디어,조재우,정보사회와 미디어,한국정보사회학회,22,2,1,24,2021,정보/과학기술사회학,2,ART002745737
NFT 미술시장의 주요 쟁점과 전망,김보름; 용호성,"2021년 4월 크리스티 경매에서 비플의 NFT 미술작품이 6,930만 달러에 판매되면서 NFT 미술시장이 본격적으로 확대되었다. NFT는 동일한 가치의 다른 것과 대체불가능한 블록체인 상의 고유한 자산으로 정의할 수 있다. NFT 미술시장은 생산, 매개, 소비 영역에서 과거의 미술시장과 다른 특성을 갖고 있다. 생산영역에서는 미술작품을 전환형, 부가형, 창작형으로 구분할 수 있는데 마켓플레이스 진입을 위해 NFT화 하는 민팅 과정이 필요하다. 매개영역에서는 디지털 마켓플레이스가 창작자와 구매자를 연결시켜주고 있으며, 소비영역에 구매자는 NFT를 구매할 수 있으나 소유와 투자 측면에 중점을 두며 감상 영역에는 제약이 있다는 한계가 있다. NFT 미술시장은 저작권, 추급권, 큐레이션, 연결성과 호환성, 감상 등과 관련한 쟁점을 해결할 필요가 있다. NFT가 일시적 유행에 그칠지는 아직 알 수 없지만 유화, 캔버스, 튜브물감, 비디오 등의 발명과 마찬가지로 미술사에서 새로운 창작과 유통의 방식을 가져오는 계기가 될 것으로 전망된다.",NFT; 대체불가토큰; 미술시장; 이더리움; 디지털 아트,김보름,디지털예술공학멀티미디어논문지,차세대컨버전스정보서비스학회,8,3,325,337,2021,학제간연구,31,ART002758326
뉴노멀시대 대학도서관의 지속가능한 서비스에 대한 연구,이용재; 이지욱,"이 연구의 목적은 코로나19 기간 동안 대학도서관에서 실시된 다양한 비대면, 온라인 서비스를 살펴보고 뉴노멀시대 대학도서관에 적용할 수 있는 지속가능한 서비스를 제시하는 것이다. 이를 위해 코로나19 사태로 인한 대학도서관 서비스의 운영 현황을 살펴보고, 국내 대학 중 재학생 10,000명 이상 대학의 도서관 63개관의 비대면․온라인 서비스 현황을 분석하였다. 분석 대상 도서관의 홈페이지와 대학도서관 발전계획을 살펴보았으며, 비대면․온라인 서비스를 ‘장서’, ‘시설․공간’, ‘프로그램’의 범주로 분류하여 서비스 사례를 분석하였다. 또한 국내 공공도서관 및 해외 도서관의 비대면․온라인 서비스 사례를 분석하여 국내 대학도서관에 적용할 수 있는 지속가능한 비대면 서비스를 살펴보았다. 연구의 결과, 뉴노멀시대 대학도서관의 지속가능한 서비스로 ‘수업자료에 대한 비대면․온라인 서비스 확대’, ‘연구․학습지원 큐레이션 확대를 통한 도서관 자원의 이용 활성화’, ‘스마트도서관 구축 및 시설․공간 서비스 혁신’, ‘이용자와의 상호작용 확대를 통한 비대면․온라인 프로그램 기획’을 제시하였다.",대학도서관; 코로나19; 비대면 서비스; 언택트 서비스; 뉴노멀시대,이지욱,한국도서관·정보학회지,한국도서관·정보학회,52,2,357,377,2021,문헌정보학,13,ART002730736
뷰티 셀프케어 IoT 음성 DB 프레임워크 연구,남현우; 문혜정; 서민지,"뷰티 빅데이터, 인공지능 기반의 코스메틱 큐레이션 개인화 서비스 기술의 개발은 현재 매우 미흡한 상황이다. 본 연구에서는 뷰티 셀프케어 기기에 사용자 경험을 향상할 방안에 대한 음성 DB 프레임워크 설계를 연구목표로 설정하였고, 기존 기기 사례조사와 뷰티 셀프케어 기기의 음성 컨설팅 가이드라인을 제안하였다. 연구결과 국내외 8종의 뷰티 디바이스의 사례 분석을 시행하였으나 뷰티 음성 가이드에 대한 디바이스는 부재한 상태였다. 따라서 음성 서비스를 제공하는 스킨 셀프케어 IoT 디바이스에서 사용할 수 있는 음성 설계를 제안하였고, 228개의 음성 스크립트를 작성한 후 기기 실행 시작, 측정, 분석 및 컨설팅, 종료, 기타 등 5가지 단계, 사용자가 기기를 실행했을 때 단계별로 마주할 수 있는 상황을 7가지 유형(power on, small talk, weather, guide, condition, solution, charge)으로 나누어, 필요한 DB 유형을 설계하고 실질적으로 사용 가능한 MP3 파일 형태로 개발하여 뷰티 셀프케어에 대한 음성 DB 프레임워크를 제안하였다. 결론적으로 뷰티 셀프케어 음성 DB 프레임워크는 뷰티 IoT 제품 개발에 가이드라인이 될 것이며, 뷰티 관련 인공지능 융합 제품을 개발하는 데에도 큰 도움이 될 것으로 보인다.",Beauty Self-Care; Beauty IoT; Beauty Product & Service Design; Beauty Curation; Voice DB,문혜정,한국디자인리서치,한국디자인리서치학회,6,4,450,461,2021,디자인,1,ART002797292
데이터 과학자 필수 자격조건에 관한 고찰: AHP 기법 기반으로,안재영; 윤종혁; 이중정,"데이터 가치의 부상은 비즈니스 패러다임을 변화시켰으며 많은 기업은 데이터에 기반한 비즈니스 모델을 만들 수 있는 데이터 과학자를 선망하고 있다. 하지만 데이터 과학자를 채용하기 위한 정확한 기준이 없어 기업들은 많 은 어려움을 겪고 있다. 이에 본 연구에서는 기업에서 필요로 한 데이터 과학자 필수 역량을 탐색하고, 그 요소의 우 선순위를 알아보고자 한다. 이를 위해 전문가 의견을 반영할 수 있는 AHP 기법을 활용하여 연구의 계층 구조 모형 을 만들고, 실증적 검증을 하였다. 1계층 요소는 비즈니스 역량, 데이터 분석 역량, 기술 역량, 개인 역량이 선정되 었다. 1계층 요소에 상응하는 2계층 요소를 도출하였으며, 전문가를 대상으로 요소의 상대적 중요도를 검증하였다. 그 결과, 상위 5개 종합 우선순위로는 데이터 분석 역량의 분석 모델, 데이터 큐레이션, 기술 역량의 개발 언어, 데이 터 분석 역량의 데이터 마이닝, 비즈니스 역량의 문제 해결 순으로 확인되었다. 본 연구 결과, 학문적 시사점은 데이 터 과학자를 준비하는 사람에게 어떠한 역량을 갖춰야 하는지 알려 줄 수 있다는 점과 실무적으로는 데이터 과학자 채용 평가에 도움을 줄 수 있다.",데이터 과학; 데이터 과학자; 필수 역량; AHP 기법; 전문가 인터뷰,윤종혁,기업경영리뷰,KNU 기업경영연구소,12,1,41,62,2021,경영학일반,3,ART002690624
온라인 식료품 소비자의 그림자노동인식이 모바일 쇼핑회피와 전환행동에 미치는 영향,김종욱; 박상철,"코로나19는 소비자의 소비패턴을 비대면 방식으로 전환시켰다. 소비패턴이 디지털화되면서 소비자는 자신이 스스로 해야 하는 일들이 수반되는 이른바 그림자노동을 수행하는 것이 일상이 되었다. 온라인 식료품 서비스 이용 과정에서 소비자가 그림자노동을 인식한다면, 이는 온라인 쇼핑 회피는 물론 다른 채널로의 전환에도 영향을 줄 수 있다. 이에 본 연구에서는 소비자의 그림자노동인식이 모바일 쇼핑회피와 채널전환의도에 어떠한 영향을 미치는지를 검증하고자 한다. 본 연구는 식료품 구독 서비스 경험이 있는 소비자 283명을 대상으로 온라인 설문조사를 통해 연구자료를 수집하고 PLS 분석을 통해 그림자노동인식에 대한 효과를 검증하였다. 분석결과, 사용자의 그림자노동인식은 모바일 쇼핑회피는 물론 채널전환의도에 긍정적인 영향을 미치는 것으로 나타났으며, 모바일 쇼핑회피 또한 채널 전환의도에 긍정적인 영향을 미치는 것으로 나타났다. 본 연구의 결과는 그림자노동 관련 연구와 모바일 쇼핑 서비스관련 연구분야에 학문적 기여가 가능하며, 플랫폼 및 큐레이션 기업에 실무적 시사점을 제안할 수 있다.",그림자노동; 쇼핑회피; 채널전환; 식료품 구독 서비스,박상철,경영정보학연구,한국경영정보학회,23,4,165,182,2021,경영학,10,ART002781886
질환 예측 서비스를 위한 의학지식 융합시스템 설계와 구현,권순현; 박세진; 유재학; 전종암; 표철식,"최근 코로나 팬데믹 상황으로 인하여 비대면 원격진료를 통한 질환 예측 서비스에 대한 관심이 커지고 있다. 기존의 질환 예측 및 헬스케어 서비스에서는 환자의 건강, 기저질환, 생활습관 등 관련 의학지식 등을 고려하지 않고, 오직 실시간으로 수집하는 생체신호 데이터만을 사용하였다. 또한, 의학지식 베이스 기반의 질환 예측 큐레이션 서비스는 환자의 생체데이터를 고려하지 않는 일반적인 의학지식만을 사용하였다. 이러한 질환 예측 및 헬스 서비스의 한계를 해결하기 위해, 본 논문에서는 실시간 생체신호 데이터와 의학지식베이스를 결합한 새로운 질환 예측 및 헬스 서비스를 지원할 수 있는 의학지식 융합시스템을 제안한다. 제안하는 시스템은 생체신호를 통한 기계학습 및 딥러닝 기반 방법과 온톨로지 형태의 의학지식베이스 기반 방법을 융합하였다. 이를 위해서 생체신호 데이터의 예측모델 학습 시, 의학지식베이스를 통한 피처확장 방법과 예측모델기반 예측결과의 의학지식베이스 연계를 통한 의학지식베이스 증강방법을 설계에 반영하였다. 따라서, 제안한 시스템은 보다 일반적이고 의료현장에서의 활용성이 높은 시스템이라고 할 수 있다. 본 논문에서는 제안한 시스템의 성능과 활용 가능성을 검증하기 위해, 뇌혈관 질환 예측 서비스를 대상으로 시스템을 설계 및 개발하였다.",질환 예측; 의학지식 융합; 의학지식 추론; 머신러닝; 딥러닝; 생체신호분석,권순현,정보과학회 컴퓨팅의 실제 논문지,한국정보과학회,27,7,338,352,2021,컴퓨터학,0,ART002739247
기술과학 분야 학술문헌에 대한 학습집합 반자동 구축 및 자동 분류 통합 연구,고건우; 김선우; 윤화묵; 정희석; 최성필; 최원준,"최근 학술문헌의 양이 급증하고, 융복합적인 연구가 활발히 이뤄지면서 연구자들은 선행 연구에 대한 동향 분석에 어려움을 겪고 있다. 이를 해결하기 위해 우선적으로 학술논문 단위의 분류 정보가 필요하지만 국내에는 이러한 정보가 제공되는 학술 데이터베이스가 존재하지 않는다. 이에 본 연구에서는 국내 학술문헌에 대해 다중 분류가 가능한 자동 분류 시스템을 제안한다. 먼저 한국어로 기술된 기술과학 분야의 학술문헌을 수집하고 K-Means 클러스터링 기법을 활용하여 DDC 600번 대의 중분류에 맞게 매핑하여 다중 분류가 가능한 학습집합을 구축하였다. 학습집합 구축 결과, 메타데이터가 존재하지 않는 값을 제외한 총 63,915건의 한국어 기술과학 분야의 자동 분류 학습집합이 구축되었다. 이를 활용하여 심층학습 기반의 학술문헌 자동 분류 엔진을 구현하고 학습하였다. 객관적인 검증을 위해 수작업 구축한 실험집합을 통한 실험 결과, 다중 분류에 대해 78.32%의 정확도와 72.45%의 F1 성능을 얻었다.",자동 분류; 텍스트 마이닝; 자연어 처리; 심층학습; 준지도 학습,김선우,정보관리학회지,한국정보관리학회,35,4,141,164,2018,문헌정보학,2,ART002425004
소셜 플랫폼상에서 MOOC와 플립드러닝을 지원하는 온톨로지 기반 교육 콘텐츠 소셜 큐레이터 구현,김원중; 설근수; 양재동,"본 논문에서는 MOOC(Massive Open Online Course)로 대변되는 대학 교육의 환경 변화에 맞춰 국내외 대학의 개방․공유된 교육 콘텐츠를 온톨로지 기반의 큐레이션을 통해 사용자 맞춤형으로 가공할 수 있는 소셜 큐레이터를 제안한다. 이 시스템은 MOOC 교육 콘텐츠의 자동 수집, 분류 및 큐레이션 환경을 제공하고, 이를 분야별, 수준별 그리고취향별로 소셜 플랫폼상에서 유통시킬 수 있는 기능을 구현한다. 본 논문에서는 또한 제안 시스템의 이러한 기능이MOOC의 온라인 교육 활용을 극대화함으로써 궁극적으로 플립드러닝을 효율적으로 실현함을 보이도록 한다.
제안 시스템은 온톨로지를 기반으로 MOOC 콘텐츠를 관심 분야별/과목별로 자동 수집하여 분류한 뒤 관점별로큐레이션 할 수 있는 환경을 제공한다. 큐레이션 콘텐츠는 그룹형 소셜 네트워크상에서 평가 후 관심 그룹 및 그룹원에게 개별 사용자 명의 단위로 공개, 유통 그리고 검색할 수 있다. 본 논문이 제안하는 소셜 큐레이터는KHUB-edu3.0이 지원하는 소셜 플랫폼상에서 개발되었다.
본 논문의 구성은 다음과 같다. 먼저, 2장에서는 기존 콘텐츠 큐레이션에 관한 연구들을 살펴보고, 3장에서는 본논문에서 제안한 온톨로지 기반 교육 콘텐츠 소셜 큐레이터 기능을 기술한다. 4장에서는 시스템의 구현 내용을 기술하고, 마지막으로 5장에서는 결론 및 향후 연구 과제를 제시한다.",플립드 러닝; 무크; 교육 3.0; 교수학습시스템; 소셜 큐레이터,김원중,일본어교육연구,한국일어교육학회,,38,39,53,2017,일본어교육,5,ART002200475
포스트 코로나 시대의 온라인 VR 체험콘텐츠 개발에 관한 연구 -전통문화자원을 활용한 3D 에셋 기반 중심으로-,이태은,"코로나의 장기화로 복합문화시설에서 서비스하고 있는 온라인 체험콘텐츠의 경험확대와 차별적인 구현 방법을 모색하고 제안하기 위하여 선행 연구를 통해 온라인 체험콘텐츠의 특징과 연출기법을 Panorama VR, Object VR, 3D VR로 분류하고 국내외 온라인 체험콘텐츠가 반영된 복합문화공간 사례를 선정하여 분석한 후 유형별 분류를 통해 다음과 같은 결론을 도출했다. 온라인 체험콘텐츠 연출은 Panorama VR 기법 중심으로 기존의 오프라인 콘텐츠를 온라인에 동일하게 옮기는 것에 초점을 두어 VR 연출방식의 매체전환에 의한 관람만 가능할 뿐 온라인의 특장점이 적용되었으나 관람객 참여체험이 미흡했다. 본 연구 결과를 토대로 전통문화자원을 소재로 하여 VR 연출기법에 관람객이 직접 3D 에셋을 선택하고 관련 정보를 습득하고 전시장을 기획하며 큐레이션하는 차별화된 온라인 체험콘텐츠를 제안했다. 포스트 코로나 시대에 온라인 체험콘텐츠가 관람객들을 위한 인터렉션이 가능한 새로운 공간으로서의 인식과 콘텐츠의 다각화를 모색하고자 했다.",온라인; 복합문화공간; VR; 체험콘텐츠; 3D 에셋; 3D VR; 전통문화자원,이태은,커뮤니케이션디자인학연구,(사)한국커뮤니케이션디자인협회 커뮤니케이션디자인학회,77,,553,562,2021,정보디자인,2,ART002769723
대학생을 대상으로 한 코로나19 관련 연구의 한･일 비교,김진영; 최순자,"본 연구는 코로나 팬데믹이 선언된 2020년 3월부터 약 1년간 한국과 일본에서 대학생을 대상으로 진행한 코로나19 관련 연구를 검토했다. 연구방법은 메타분석 방법을 적용했다. 연구결과, 한국의 경우 양적연구가 많았고 한국연구의 특징은 다양성에 있다. 첫째, 연구대상의 다양성이다. 둘째, 자료수집의 다양성이다. 셋째, 연구내용의 다양성이다. 연구내용의 경우 학업지속의향, 온라인 강의의 효과적인 운영방안, 변화된 라이프스타일 및 감정, 온라인 수업 효능감, 간호전공 학생의 윤리의식, 학생지원 디지털 큐레이션 도구개발 연구 등 다양한 주제로 연구를 진행한 것으로 분석되었다. 일본의 경우 연구유형과 자료수집 방법은 대부분 질문지 연구였다. 코로나19가 일본 대학생에게 미치는 심리적 영향은 정신적 건강 상태 악화, 고립감을 느낀다는 결과가 나타났고, 일상적인 학업이나 일상생활이 우울증과 관련이 있는 것으로 나타났다. 반면에 스트레스 대처와 사회적 관계 지원이 스트레스 요인의 부정적인 영향을 완화시킨 결과를 나타났다. 이를 통해 코로나19 상황에서 대부분의 대학생들이 심리적 스트레스를 경험한다고 볼 수 있다. 그러므로 스트레스 대처와 지원의 적극적 검토가 필요하다는 것을 시사받을 수 있다. 한국의 경우 학생들의 심리적 지원에 대한 연구와 지원 방안을 고려해야 함을, 일본의 경우 장애 등 특수한 상황에 놓인 학생 지원에 대한 연구와 지원 방안을 고려해야 함을 제안한다.
本研究はコロナパンデミックが宣言された2020年3月から約1年間韓国と日本で大学生を対象に進めてきたコロナ19関連研究を検討した。研究方法はメタ分析方法を適用した。研究結果、韓国の場合量的研究が多く、韓国研究の特徴は多様性である。第一に、研究対象の多様性である。第二に、資料収集の多様性である。第三に、研究内容の多様性である。研究内容は学業持続意向、オンライン講義の効果的な運営案、変化したライフスタイルおよび感情、オンライン授業効能感、看護専攻学生の倫理意識、学生支援デジタルキュレーション道具開発研究など、多様なテーマで研究を進めたものと分析された。日本の場合、研究類型と資料収集方法は、ほとんど質問紙研究だった。コロナ19が日本の大学生に及ぼす心理的影響は、精神的健康状態の悪化、孤立感を感じるという結果が現れ、日常的な学業や日常生活がうつ病と関連があることが分かった。反面、ストレス対処と社会的関係支援がストレス要因の否定的な影響を緩和させた結果となった。これを通じてコロナ19の状況で大部分の大学生が心理的ストレスを経験すると言える。そのため、ストレス対処や支援の積極的な検討が必要であることが示唆される。韓国の場合、学生たちの心理的支援に対する研究と支援策を考慮しなければならないことを、日本の場合は障害など特殊な状況に置かれている学生支援に対する研究と支援策を考慮すべきだと提案する。",한국-일본; 코로나19; 대학생; 메타분석,김진영,한국일본교육학연구,한국일본교육학회,26,2,1,19,2021,기타교육학,2,ART002735252
